Store#,Name,Address,City,State/Province,Country,Zip,Interstate,Latitude,Longitude,Phone,Fax,Parking Spaces,Diesel Lanes,Bulk DEF Lanes,Showers,CAT Scale,Facilities/Restaurants,WiFi
180,"Pilot Travel Center","West  Interstate 40  12500 Brannigan Park Rd","Bellemont","AZ","US","86015","I-40  Exit 185","35.23848700","-111.82255200","(928) 773-0180","(928) 773-0205","45","7","8","7","Yes","Subway, McDonald's, Pilot Truck Care Center","No",
4656,"Pilot Travel Center","4610 County Drive","Disputanta","VA","US","23842","I-295 & Rt. 460  Exit 3A","37.18479700","-77.31837600","(804) 863-4612","(804) 863-4616","103","8","8","7","Yes","Wendy's","No",
190,"Pilot Travel Center","66 NJ-173 West","Hampton (Clinton Area)","NJ","US","08827","I-78  Exit 12 Westbound","40.63696200","-74.96846100","(908) 735-7711","(908) 735-8153","50","7","","6","Yes","Subway, Cinnabon","Yes",
192,"Pilot Travel Center","4431 Union Road","Tifton","GA","US","31794","I-75  Exit 60","31.42792200","-83.51700800","(229) 382-7295","(229) 382-4910","200","8","8","11","Yes","Subway, Steak n Shake, Roadside Assistance","No",
195,"Pilot Travel Center","91485 Biggs Rufus Highway","Wasco","OR","US","97065","I-84  Exit 104 & US 97","45.66908000","-120.83572900","(541) 739-2174","(541) 739-2479","37","7","6","5","Yes","Cinnabon, McDonald's","No",
196,"Pilot Travel Center","302 West Ray Fine Boulevard","Roland","OK","US","74954","I-40  Exit 325","35.40389800","-94.52166500","(918) 427-0895","(918) 427-0862","125","8","8","7","Yes","Wendy's, Roadside Assistance","No",
198,"Pilot Travel Center","10619 9A Road","Plymouth","IN","US","46563","US Hwy 30 & 31","41.34197900","-86.26427700","(574) 936-6525","(574) 936-4348","110","8","8","7","Yes","Subway, Roadside Assistance","No",
199,"Pilot Travel Center","490 North Elm Street","Haughton","LA","US","71037","I-20 & Hwy 157  Exit 33","32.54499600","-93.51647400","(318) 390-9709","(318) 390-9713","90","7","7","7","Yes","Arby's, Breakfast/Soup Bar","No",
200,"Pilot Travel Center","5725 CA-58","Boron","CA","US","93516","US 395 & US 58","34.99161800","-117.54310400","(760) 762-0041","(760) 762-5231","45","7","7","7","Yes","Subway, Cinnabon","No",
206,"Pilot Travel Center","1201 I-20 West","Weatherford","TX","US","76087","I-20  Exit 406","32.72724700","-97.82516800","(817) 341-4600","(817) 341-4602","110","8","8","7","Yes","Wendy's, Breakfast/Soup Bar","No",
208,"Pilot Travel Center","1475 Thornton Street","Pacific","MO","US","63069","I-44  Exit 257 (West)  Exit 256 (East)","38.48788700","-90.75818200","(636) 257-4100","(636) 257-4107","90","9","9","7","Yes","Subway","No",
209,"Pilot Travel Center","501 Van Horn Drive","Van Horn ","TX","US","79855","I-10  Exit 140","31.03603000","-104.82948300","(432) 283-8067","(432) 283-8071","75","8","8","7","Yes","Wendy's","No",
210,"Pilot Travel Center","230 Route 17 South","Mahwah","NJ","US","07430","Route 17 South","41.09172100","-74.15538300","(201) 529-2704","(201) 529-1784","8","6","6","","Yes","Deli","No",
211,"Pilot Travel Center","14750 AZ-95","Lake Havasu City","AZ","US","86404","I-40 & AZ 95  Exit 9","34.72825600","-114.31520900","(928) 764-2410","(928) 764-2021","85","10","8","12","Yes","Wendy's, Roadside Assistance","No",
213,"Pilot Travel Center","3600 Interchange Road","Columbus","OH","US","43204","I-70  Exit 94 Wilson Rd","39.97383200","-83.10008200","(614) 308-9195","(614) 308-9673","100","8","8","7","Yes","Wendy's","No",
219,"Pilot Travel Center","7210 Strawberry Plains Pike","Knoxville","TN","US","37914","I-40  Exit 398","35.99927300","-83.77761800","(865) 544-1067","(865) 544-1138","107","9","9","9","Yes","Subway, Cinnabon, Roadside Assistance, Urgent Care Travel, Breakfast/Soup Bar","No",
220,"Separated Gas Island","400 Haynes Street","Sturbridge","MA","US","01566","I-84  Exit 1","42.06698200","-72.10666700","","","","","","","No","","No",
222,"Pilot Travel Center","400 Haynes Street","Sturbridge","MA","US","01566","I-84  Exit 1","42.06526800","-72.10875600","(508) 347-9104","(508) 347-9165","250","8","6","6","No","Breakfast/Soup Bar, Deli, Subway","No",
226,"Pilot Travel Center","505 Patriot Drive","Dandridge","TN","US","37725","I-40  Exit 417","36.03850800","-83.44381100","(865) 397-3547","(865) 397-3699","35","8","8","6","Yes","Subway, Wingfoot Truck Care","No",
231,"Pilot Travel Center","249 West Cumberland Gap Parkway","Corbin","KY","US","40701","I-75 & US 25E  Exit 29","36.97485700","-84.10698000","(606) 528-0631","(606) 528-1003","40","9","8","5","Yes","Subway, McDonald's","No",
232,"Pilot Travel Center","653 East Idaho Avenue","Ontario","OR","US","97914","I-84  Exit 376A","44.02609400","-116.95245100","(541) 889-9070","(541) 889-4117","99","8","8","7","Yes","Arby's","No",
233,"Pilot Travel Center","800 John Long Road","Oakland","OR","US","97462","I-5  Exit 148","43.53916500","-123.28927200","(541) 849-2133","(541) 849-2137","145","9","9","10","Yes","Subway, Denny's, Roadside Assistance","No",
234,"Pilot Travel Center","639 State Highway 75 North","Huntsville","TX","US","77320","I-45  Exit 118","30.73798100","-95.59405800","(936) 291-1125","(936) 291-2421","90","8","8","6","Yes","Wendy's","No",
236,"Pilot Travel Center","301 Ridge Road","Minooka ","IL","US","60447","I-80  Exit 122","41.46075900","-88.27302100","(815) 467-4416","(815) 467-5409","100","8","8","7","Yes","Arby's, Roadside Assistance, Cinnabon","No",
237,"Pilot Travel Center","951 Work Street","Salinas","CA","US","93901","US 101  Exit 326B & S Sanborn Rd","36.66560500","-121.62988300","(831) 775-0380","(831) 775-0360","62","6","6","7","Yes","Subway, Cinnabon","No",
238,"Pilot Travel Center","2495 210th Avenue","Percival","IA","US","51648","I-29  Exit 10","40.69026500","-95.79287800","(712) 382-2224","(712) 382-1556","50","7","7","7","Yes","Subway","No",
239,"Pilot Travel Center","1600 East Wyandot Avenue","Upper Sandusky","OH","US","43351","State Hwy 23 & 30","40.83426800","-83.24547900","(419) 294-2971","(419) 294-3812","70","7","7","5","Yes","Subway","No",
240,"Pilot Travel Center","3000 US Highway 25E","Middlesboro","KY","US","40965","Hwy 25  Route 2","36.64340100","-83.70012300","(606) 248-4057","(606) 248-4149","40","4","4","2","Yes","Deli","No",
241,"Pilot Food Mart","2801 E. Gov. John Sevier Highway","Knoxville","TN","US","37914","I-40  Exit 398","35.96043859","-83.82323948","(865) 546-6776","(865) 546-7475","","3","3","","Yes","","No",
242,"Pilot Travel Center","1851 West 400 North","Shelbyville","IN","US","46176","I-74  Exit 109","39.58340300","-85.81768000","(317) 392-8771","(317) 392-8721","90","8","8","7","Yes","Cinnabon, McDonald's, Roadside Assistance","Yes",
243,"Pilot Travel Center","4304 First Avenue","Nitro ","WV","US","25143","I-64 & SR 25  Exit 45","38.44394300","-81.83055200","(304) 755-8654","(304) 755-8655","60","7","6","6","Yes","Arby's","No",
6955,"Pilot Travel Center","1044 Jimmy Kerr Road","Haw River","NC","US","27258","I-40/I-85  Exit 150","36.07101400","-79.35164200","(336) 578-2610","(336) 578-2334","133","11","10","8","Yes","Wendy's, Dairy Queen","No",
245,"Pilot Travel Center","7961 Linglestown Road","Harrisburg","PA","US","17112","I-81 & PA 39  Exit 77  Manada Hill","40.35142800","-76.71678400","(717) 545-5507","(717) 545-6768","17","6","6","3","Yes","Pizza Hut","No",
247,"Pilot Travel Center","4403 East State Route 32","Crawfordsville","IN","US","47933","I-74  Exit 39","40.04609300","-86.82050200","(765) 361-9603","(765) 361-9601","110","7","7","5","Yes","Subway","No",
249,"Pilot Travel Center","820 Edwardsville Road","Troy","IL","US","62294","I-55/70/IL 162  Exit 18","38.73164700","-89.90801700","(618) 667-0946","(618) 667-0966","135","10","10","7","Yes","Arby's","No",
252,"Pilot Travel Center","600 W MO-92","Kearney","MO","US","64060","I-35  Exit 26","39.36936200","-94.37415500","(816) 635-4015","(816) 635-4116","90","9","9","7","Yes","Taco Bell, Wingfoot Truck Care, Breakfast/Soup Bar","No",
253,"Pilot Travel Center","600 Pennsville-Auburn Road","Carneys Point","NJ","US","08069","I-295  Exit 2B NJT","39.68150700","-75.47947100","(856) 299-5700","(856) 299-8563","25","6","7","2","Yes","Subway","No",
254,"Pilot Travel Center","650 Highway 299","Wildwood","GA","US","30757","I-24/59  Exit 169","34.97880500","-85.41391100","(706) 820-7353","(706) 820-9539","9","6","6","3","Yes","Subway","No",
255,"Pilot Travel Center","433 Old Gate Lane","Milford ","CT","US","06460","I-95  Exit 40","41.23658200","-73.02253400","(203) 876-1266","(203) 876-9473","150","8","8","12","Yes","Wendy's","No",
256,"Pilot Travel Center","110 River Point Drive","Danville","VA","US","24541","Hwy 58 & Hwy 29","36.58266200","-79.35511700","(434) 792-1180","(434) 792-7894","28","5","5","3","Yes","Arby's","No",
257,"Pilot Travel Center","4015 South Fm 1788","Midland","TX","US","79706","I-20&FM 1788 Exit 126","31.91526400","-102.21510700","(432) 563-1683","(432) 563-1748","99","9","9","7","Yes","McDonald's, Wingfoot Truck Care","No",
258,"Pilot Travel Center","2966 Lee Highway South","Troutville","VA","US","24175","I-81  Exit 150A or B","37.38870200","-79.90052000","(540) 992-2805","(540) 992-1534","11","6","6","3","Yes","Subway","No",
259,"Pilot Travel Center","3000 North 32Nd Street","Muskogee","OK","US","74401","US 69 & US 51","35.78500800","-95.40161500","(918) 686-7856","(918) 686-0597","125","6","9","7","Yes","Subway, Breakfast/Soup Bar, Cinnabon","No",
260,"Pilot Travel Center","310 Cordele Road","Albany","GA","US","31705","Hwy 300 & Clark Ave","31.58092300","-84.08578000","(229) 878-1355","(229) 878-1302","80","7","7","4","Yes","Subway, Pilot Truck Care Center","No",
261,"Pilot Travel Center","403 Sw Frontage Road","Winona","MS","US","38967","I-55 & Hwy 82","33.48600000","-89.77149700","(662) 283-5985","(662) 283-5906","110","7","7","5","Yes","Taco Bell","No",
265,"Pilot Travel Center","1111 South Jefferson Avenue","Cookeville","TN","US","38501","I-40  Exit 287","36.13392100","-85.50422300","(931) 528-7100","(931) 528-3893","","3","3","1","Yes","Deli","No",
266,"Pilot Travel Center","2681 West Amador Avenue","Las Cruces","NM","US","88005","I-10 & NM 292  Exit 139","32.29626500","-106.81011500","(575) 523-2700","(575) 525-6727","40","6","6","5","Yes","Subway","No",
6978,"Pilot Travel Center","801 NC Highway 211E","Candor","NC","US","27229","I-73 Exit 220","35.29850200","-79.72734000","(910) 974-4402","(910) 974-3030","25","6","6","4","Yes","Wendy's","No",
267,"Pilot Travel Center","2965 Highway 247C","Byron","GA","US","31008","I-75  Exit 146","32.61276600","-83.74455800","(478) 956-5316","(478) 956-3726","150","9","9","11","Yes","Arby's, Cinnabon, Roadside Assistance","No",
268,"Pilot Travel Center","2975 North Plainview Road","Walcott","IA","US","52773","I-80  Exit 284 & CR Y40","41.61459900","-90.78221300","(563) 284-5074","(563) 284-5076","25","10","6","3","No","Subway","No",
270,"Pilot Travel Center","314 Lovell Road","Knoxville","TN","US","37934","I-40/75  Exit 374","35.90397900","-84.14111900","(865) 966-0445","(865) 966-2918","80","8","8","8","Yes","Wendy's","No",
271,"Pilot Travel Center","2501 Burr Street","Gary","IN","US","46406","I-80/94  Exit 6","41.57310200","-87.40206100","(219) 844-2661","(219) 844-7957","215","10","9","9","Yes","Subway, Breakfast/Soup Bar, Wingfoot Truck Care, Cinnabon","No",
274,"Pilot Travel Center","2112 Rees Street","Breaux Bridge ","LA","US","70517","I-10  Exit 109","30.29442600","-91.91402300","(337) 332-1253","(337) 332-0618","105","7","7","7","Yes","Arby's, Roadside Assistance","No",
275,"Pilot Travel Center","3807 Statesville Avenue","Charlotte ","NC","US","28206","I-85/77  Exit 39","35.27053200","-80.83846000","(704) 358-1006","(704) 358-1506","60","7","7","5","Yes","Subway","No",
278,"Pilot Travel Center","118 Richwood Road","Walton","KY","US","41094","I-75/71/KY 338  Exit 175","38.91910600","-84.62579900","(859) 485-6100","(859) 485-6113","15","7","7","5","Yes","Subway","No",
6990,"Pilot Travel Center","1000 Truckstop Road","Kenly","NC","US","27542","I-95 Exit 106","35.58355400","-78.14782600","(919) 284-6109","(919) 284-3153","125","9","9","5","Yes","Arby's","Yes",
279,"Pilot Travel Center","769 East Frontage Road","Rio Rico","AZ","US","85648","I-19 & SR 289  Exit 12","31.43124700","-110.96221700","(520) 377-0001","(520) 377-0003","90","7","7","11","Yes","Wendy's","No",
280,"Pilot Travel Center","979 Route 173","Bloomsbury","NJ","US","08804","I-78 & NJ 173  Exit 7","40.65963600","-75.07281700","(908) 479-6443","(908) 479-6394","30","7","7","5","Yes","Subway","No",
281,"Pilot Travel Center","2786 Salt Springs Road","Girard","OH","US","44420","I-80  Exit 226","41.13986200","-80.71939100","(330) 530-8500","(330) 530-8318","80","9","9","7","Yes","Subway, Roadside Assistance","No",
282,"Pilot Travel Center","2591 Commerce Parkway","Barstow","CA","US","92311","I-15/I-40  Exit 178 & Lenwood Road  US 58","34.85472100","-117.08715600","(760) 253-2861","(760) 253-2863","18","7","7","7","Yes","Subway","No",
284,"Pilot Travel Center","1200 Nadeau Road","Monroe","MI","US","48161","I-75  Exit 18","41.96325400","-83.35378200","(734) 457-3500","(734) 457-2835","60","8","8","5","Yes","Taco Bell","No",
6996,"Pilot Travel Center","2574 W NC Highway 24","Warsaw","NC","US","28398","I-40 Exit 364","34.99420200","-78.12999200","(910) 293-7070","(910) 293-6969","10","5","5","4","Yes","Arby's, Dunkin' Donuts","No",
285,"Pilot Travel Center","10258 Lancaster Road Sw","Hebron","OH","US","43025","I-70 & OH 37  Exit 126","39.94520500","-82.53611500","(740) 928-5588","(740) 928-6032","90","9","9","5","Yes","Subway, Pizza Hut","No",
286,"Pilot Travel Center","6141 US 127 North","Eaton ","OH","US","45320","I-70 & OH 127  Exit 10","39.83166300","-84.63081800","(937) 456-6303","(937) 456-6497","34","7","7","5","Yes","Subway","No",
287,"Pilot Travel Center","10048 Avon Lake Road","Burbank","OH","US","44214","I-71 & OH 83  Exit 204","40.99922300","-81.99773400","(330) 948-4571","(330) 948-4575","105","7","8","7","Yes","Wendy's, Cinnabon, Roadside Assistance","No",
289,"Pilot Travel Center","3001 Milwaukee Road","Beloit","WI","US","53511","I-43/90/WI 81  Exit 185A","42.52720700","-88.98007400","(608) 364-3644","(608) 364-3643","55","7","8","5","Yes","Taco Bell","No",
290,"Pilot Travel Center","31 Heather Lane","Perryville","MD","US","21903","I-95 & MD 222  Exit 93","39.58970500","-76.06545100","(410) 642-2883","(410) 378-4941","22","7","","5","Yes","Subway","Yes",
293,"Pilot Travel Center","2020 Sw Highway 484","Ocala","FL","US","34473","I-75 & FL 484  Exit 341","29.02451400","-82.15918800","(352) 347-8555","(352) 347-3082","50","7","7","5","Yes","Wendy's, Dairy Queen, Cinnabon","No",
294,"Pilot Travel Center","1670 West 12Th Street","Ogden","UT","US","84404","I-15 & UT 39  Exit 344","41.24570100","-112.01939600","(801) 731-2900","(801) 731-2380","60","5","7","5","Yes","Subway, Taco Bell","No",
296,"Pilot Travel Center","195 Baker Road","Dexter","MI","US","48130","I-94  Exit 167","42.29578100","-83.87824400","(734) 426-0065","(734) 426-0339","80","8","7","5","Yes","","No",
297,"Pilot Travel Center","5555 E. Margaret Avenue","Terre Haute","IN","US","47803","I-70 & IN 46  Exit 11","39.43299600","-87.33212800","(812) 877-9977","(812) 877-9978","70","7","7","5","Yes","Subway","No",
298,"Pilot Travel Center","1114 State Route 93","Drums","PA","US","18222","I-80/81/PA 93  Exit 256","41.02741400","-76.07992500","(570) 788-3262","(570) 788-2163","45","7","6","5","Yes","Subway","No",
299,"Pilot Travel Center","1522 West Market Street","Bloomington","IL","US","61701","I-55/74/IL 9  Exit 160","40.48239700","-89.01750600","(309) 827-7867","(309) 827-2355","80","9","8","8","Yes","Wendy's, Pilot Truck Care Center, Breakfast/Soup Bar","No",
300,"Pilot Travel Center","2111 Sw Railroad Avenue","Hammond","LA","US","70403","I-12/55/US 51  Exit 40","30.47754600","-90.45597600","(985) 345-5476","(985) 542-5028","60","7","7","5","Yes","Arby's","No",
301,"Pilot Travel Center","917 East Elm Street","Marston","MO","US","63866","I-55  Exit 40","36.51839300","-89.59756000","(573) 643-2320","(573) 643-2252","70","7","7","5","Yes","Subway","No",
302,"Pilot Travel Center","6955 Theodore Dawes Road","Theodore","AL","US","36582","I-10  Exit 13","30.55941000","-88.20524400","(251) 653-8834","(251) 653-9556","65","7","7","5","Yes","Wendy's","No",
303,"Pilot Travel Center","905 American Road","Napoleon","OH","US","43545","Route 24","41.41653900","-84.10424400","(419) 599-0043","(419) 599-0051","75","7","7","5","Yes","Subway","No",
304,"Flying J","3105 Doyle Road","New Haven","IN","US","46774","Hwy 30; I-469 & Exit 19","41.05891500","-84.97990200","(260) 493-4035","(260) 493-4921","88","9","9","9","Yes","Subway, Breakfast/Soup Bar, Cinnabon, Huddle House, Roadside Assistance","No",
305,"Flying J","1 Giant Crossing Po Box 960","Jamestown","NM","US","87347","I-40  Exit 39","35.48155100","-108.43267900","(505) 722-6655","(505) 722-2674","456","12","12","16","Yes","Subway, Breakfast/Soup Bar, Denny's","No",
306,"Pilot Travel Center","5619 I-10 East","San Antonio","TX","US","78219","I-10  Exit 582 Ackerman Rd","29.43998300","-98.38026400","(210) 661-5353","(210) 661-4660","50","7","7","6","Yes","Subway","Yes",
307,"Pilot Travel Center","6605 N. Indian Canyon Drive Po Box 581236","North Palm Springs","CA","US","92262","I-10 & Garnet Ave & N Indian Canyon Dr","33.90303300","-116.54652900","(760) 329-5562","(760) 329-0083","57","6","6","5","Yes","Wendy's, Cinnabon","No",
308,"Pilot Travel Center","1564 Mccue Street","Laramie","WY","US","82072","I-80  Exit 310","41.32725400","-105.61098200","(307) 742-6443","(307) 742-2576","100","9","9","6","Yes","Wendy's","No",
309,"Pilot Travel Center","44133 Fairground Road","Caldwell","OH","US","43724","I-77  Exit 25","39.73753800","-81.52795900","(740) 732-5656","(740) 732-1404","50","7","5","5","Yes","Arby's","No",
310,"Pilot Travel Center","1405 East Main Street","Duncan","SC","US","29334","I-85 & SC 290  Exit 63","34.91573200","-82.10778800","(864) 433-1221","(864) 433-1210","70","7","6","8","Yes","Wendy's","No",
311,"Pilot Travel Center","8035 Perry Highway","Erie","PA","US","16509","I-90 & PA 97  Exit 27","42.06972600","-80.03825400","(814) 864-8536","(814) 866-0332","85","7","7","5","Yes","Subway","No",
312,"Pilot Travel Center","882 Georgia Highway 100","Tallapoosa ","GA","US","30176","I-20 & GA 100  Exit 5","33.68254800","-85.26363900","(770) 574-9922","(770) 574-9697","90","7","8","6","Yes","Taco Bell/KFC","No",
313,"Pilot Travel Center","699 State Route 203","East St. Louis","IL","US","62201","I-55/70  Exit 4","38.65150200","-90.13150900","(618) 875-5800","(618) 875-4234","200","9","9","11","Yes","Subway, Taco Bell, Pilot Truck Care Center","No",
317,"Pilot Travel Center","4500 Highway 43 South","Joplin","MO","US","64804","I-44 & MO 43S  Exit 4","37.00457600","-94.55295200","(417) 781-0255","(417) 781-0179","90","9","6","7","Yes","Wendy's, Roadside Assistance","No",
318,"Pilot Travel Center","4607 South Harding Street","Indianapolis","IN","US","46217","I-465 & IN 37  Exit 4","39.69757000","-86.18513500","(317) 783-1033","(317) 783-0851","90","6","7","7","Yes","Subway","No",
319,"Pilot Travel Center","243 Connector 3 Sw","Dalton","GA","US","30720","I-75  Exit 328","34.68683500","-85.00011100","(706) 277-7934","(706) 277-3337","100","12","10","7","Yes","Arby's","No",
321,"Pilot Travel Center","11229 Frontage Road","Walton","KY","US","41094","I-75/71/KY 338  Exit 175","38.91757700","-84.63261800","(859) 485-1327","(859) 485-8519","25","6","6","3","Yes","Subway","No",
322,"Pilot Travel Center","7767 State Route 53","Bath (Kanona Area)","NY","US","14810","I-86  Exit 37","42.37763100","-77.36376400","(607) 776-2012","(607) 776-4179","70","7","7","4","Yes","Subway, Breakfast/Soup Bar, Cinnabon","Yes",
324,"Pilot Travel Center","13712 Northwestern Avenue","Franksville","WI","US","53126","I-94 & CR K  Exit 329","42.77923600","-87.95208500","(262) 835-2292","(262) 835-2564","80","7","7","5","Yes","Arby's","No",
328,"Pilot Travel Center","1201 West Main Street","Quartzsite","AZ","US","85359","I-10 & US 95  Exit 17","33.66142200","-114.23641100","(928) 927-7777","(928) 927-7000","100","9","9","4","Yes","Subway, Dairy Queen, Pilot Truck Care Center","No",
329,"Pilot Travel Center","2647 South 24th Street","Council Bluffs","IA","US","51501","I-80/29  Exit 1B","41.23608000","-95.87820600","(712) 322-0088","(712) 322-0236","80","8","8","7","Yes","Arby's","No",
330,"Pilot Travel Center","4142 Loop 337","New Braunfels","TX","US","78132","I-35  Exit 184","29.67670900","-98.15687700","(830) 629-1424","(830) 629-1254","120","9","9","7","Yes","Subway, Roadside Assistance, McDonald's, Cinnabon","No",
331,"Pilot Travel Center","2605 Bouldercrest Road SE","Atlanta","GA","US","30316","I-285  Exit 51","33.68543700","-84.31217400","(404) 212-8733","(404) 212-8568","100","8","8","8","Yes","Wendy's","No",
332,"Pilot Travel Center","3300 Highway 391 North","North Little Rock","AR","US","72117","I-40  Exit 161 Galloway Rd","34.78137900","-92.12736600","(501) 945-2226","(501) 945-2282","100","11","11","7","Yes","Subway, Pizza Hut, Roadside Assistance","No",
335,"Pilot Travel Center","103 Grimshaw Street","Rayville","LA","US","71269","I-20 & LA 137  Exit 138","32.45905000","-91.75942800","(318) 728-4100","(318) 728-4236","85","7","7","5","Yes","Wendy's","No",
336,"Pilot Travel Center","1742 Rich Highway","Dubois","PA","US","15801","I-80 & Hwy 219  Exit 97","41.14124900","-78.78293200","(814) 375-6046","(814) 375-6047","100","7","8","7","Yes","Arby's","No",
337,"Pilot Travel Center","2015 West Lucas Street","Florence","SC","US","29501","I-95 & US 52  Exit 164","34.23311400","-79.80182600","(843) 662-2646","(843) 662-2893","90","7","7","5","Yes","Subway, Taco Bell, Cinnabon","Yes",
338,"Pilot Travel Center","3008 Highway 321","Cayce (Columbia Area)","SC","US","29033","I-26/77  Exit 115","33.93003600","-81.07821400","(803) 739-2921","(803) 739-4521","90","7","7","5","Yes","Wendy's, Dairy Queen, Cinnabon","No",
339,"Pilot Travel Center","16502 North State Road 63","Covington","IN","US","47932","I-74 & SR 63  Exit 4","40.12289000","-87.45028500","(765) 793-7307","(765) 793-2155","50","7","6","6","Yes","Arby's","No",
340,"Pilot Travel Center","465 Pilot Road","Fernley","NV","US","89408","I-80 & US 95  Exit 46","39.61427900","-119.26627200","(775) 575-5115","(775) 575-4619","100","8","8","7","Yes","Wendy's, Dairy Queen, Pilot Casinos, Service Center, Roadside Assistance","No",
341,"Pilot Travel Center","3812 East Craig Road","North Las Vegas","NV","US","89031","I-15  Exit 48","36.24131700","-115.09778300","(702) 644-1600","(702) 644-8432","91","7","7","7","Yes","KFC, Pizza Hut, Roadside Assistance","No",
343,"Pilot Travel Center","1497 Piper Ranch Road","San Diego","CA","US","92154","I-805  Exit 1B  CA 905","32.56922900","-116.95256400","(619) 661-9558","(619) 661-9814","124","8","8","9","Yes","Wendy's","No",
346,"Pilot Travel Center","522 Highway 601 South","Lugoff","SC","US","29078","I-20 & US 601  Exit 92","34.19298000","-80.68687100","(803) 438-5175","(803) 438-3947","60","6","6","5","Yes","Subway, Dairy Queen","No",
348,"Pilot Travel Center","205 Wilson Road","Bentleyville","PA","US","15314","I-70  Exit 32B","40.13134200","-80.00119400","(724) 239-5855","(724) 239-5801","90","8","8","7","Yes","Subway, Cinnabon","No",
350,"Pilot Travel Center","1050 Highway 20","Mountain Home","ID","US","83647","I-84 & US 20  Exit 95","43.14264000","-115.66298600","(208) 587-4465","(208) 587-3071","109","9","9","9","Yes","Arby's, Cinnabon","No",
352,"Pilot Travel Center","6050 Plaza Drive","Fort Myers","FL","US","33905","I-75  Exit 139 Luckett Rd","26.65593600","-81.80248300","(239) 693-6868","(239) 693-1253","80","7","7","6","Yes","Subway","No",
353,"Pilot Travel Center","110 Triport Road","Georgetown","KY","US","40324","I-75  Exit 129","38.27618200","-84.55428500","(502) 863-2708","(502) 863-5012","175","12","12","12","Yes","Wendy's, Cinnabon, Wingfoot Truck Care","No",
354,"Pilot Travel Center","819 Buck Creek Road","Simpsonville","KY","US","40067","I-64  Exit 28 Veechdale Rd","38.20989700","-85.34805100","(502) 722-5636","(502) 722-5630","25","8","7","7","Yes","Wendy's, Cinnabon","No",
356,"Pilot Travel Center","2050 East Blue Lick Road","Shepherdsville","KY","US","40165","I-65  Exit 121 Brooks Rd","38.06052700","-85.70313200","(502) 955-5049","(502) 955-9717","60","7","11","6","Yes","Subway","No",
358,"Pilot Travel Center","5353 Cairo Road","Paducah","KY","US","42001","I-24 & KY 305  Exit 3","37.09793800","-88.69120500","(270) 443-2044","(270) 442-8538","65","8","8","8","Yes","Subway","No",
360,"Pilot Travel Center","11471 State Route 613W","Findlay","OH","US","45840","I-75 & OH 613  Exit 164","41.13661300","-83.66080000","(419) 299-3381","(419) 299-3096","80","7","7","5","Yes","Subway, Taco Bell","No",
363,"Pilot Travel Center","5021 Highway 78","Memphis","TN","US","38118","US 78 Pleasant Hill","35.01820200","-89.89722600","(901) 366-0337","(901) 366-1712","70","7","6","5","Yes","Arby's","No",
365,"Pilot Travel Center","22717 Avenue 18 1/2","Madera","CA","US","93637","I-99  Exit 159","37.01946900","-120.13317100","(559) 673-3878","(559) 673-7679","111","12","12","11","Yes","Subway, Breakfast/Soup Bar, Cinnabon, Roadside Assistance, Denny's","No",
366,"Pilot Travel Center","30 Sand Pebble Road","Jackson","TN","US","38305","I-40  Exit 85","35.68281500","-88.77714200","(731) 422-5545","(731) 422-5780","95","8","8","7","Yes","Denny's, Roadside Assistance, Breakfast/Soup Bar, Cinnabon","No",
367,"Pilot Travel Center","2226 Fm-1903","Caddo Mills","TX","US","75135","I-30  Exit 87","33.04377200","-96.17745100","(903) 527-2150","(903) 527-2103","80","8","8","6","Yes","McDonald's","Yes",
368,"Pilot Travel Center","4030 East Boyd Road","Decatur","IL","US","62521","I-72  Exit 144","39.90737500","-88.89467500","(217) 876-0208","(217) 876-0522","70","7","7","7","Yes","Subway, McDonald's","No",
369,"Pilot Travel Center","901 Bankhead Highway West","Birmingham","AL","US","35204","I-20/59/65/AL 78  Exit 123","33.52943600","-86.85191700","(205) 324-4532","(205) 324-5897","100","8","8","7","Yes","Wendy's","No",
370,"Pilot Travel Center","417 Route 315","Pittston","PA","US","18640","I-81N  Exit 175","41.31398900","-75.75461900","(570) 655-4116","(570) 655-2479","80","8","8","7","Yes","Wendy's","No",
372,"Pilot Travel Center","31642 Castaic Road","Castaic","CA","US","91384","I-5  Exit 176  Lake Hughes Rd Exit","34.49450900","-118.61934600","(661) 257-2800","(661) 257-2109","54","8","8","7","Yes","Breakfast/Soup Bar","No",
373,"Pilot Travel Center","11957 Douglas Avenue","Des Moines","IA","US","50322","I-35/80  Ext 126","41.63022400","-93.78083300","(515) 276-1509","(515) 276-8599","350","14","14","17","Yes","Subway, Wingfoot Truck Care","No",
374,"Pilot Travel Center","2209 Highway 71","Marianna","FL","US","32448","I-10/FL 71  Exit 142","30.72554300","-85.18699400","(850) 482-2148","(850) 482-2136","90","7","7","7","Yes","Arby's","No",
375,"Pilot Travel Center","4440 North McCarty Street","Houston","TX","US","77013","I-610 & US 90E  Exit 24A","29.79991800","-95.26775100","(713) 675-3375","(713) 670-7629","113","7","7","7","Yes","McDonald's, Pilot Truck Care Center","No",
377,"Pilot Travel Center","1101 Uniroyal Drive","Laredo","TX","US","78045","I-35  Exit 13","27.68369400","-99.46149200","(956) 717-5006","(956) 717-5012","125","10","10","12","Yes","Subway, Wingfoot Truck Care, McDonald's","No",
